,Earleafwidth,group
CML496,9.316885382,training
RY713,8.110531043,training
BY813,10.05279708,training
CML134,8.413363311,training
GEMS41,9.240487145,training
JI842,7.117627509,training
XZ698,7.299821583,training
BY815,10.04346263,training
SY3073,8.850904266,training
CIMBL27,11.36895246,training
U8112,7.765802699,training
TY6,8.993105076,training
CA47,7.627977298,training
CML493,8.870593609,training
SY1052,8.212094472,training
R15,6.699296623,training
CIMBL75,9.257817353,training
CML324,9.844122232,training
CML31,8.465868226,training
CIMBL100,10.60325579,training
J4112,8.828117017,training
LV28,7.070112582,training
GEMS10,7.964719299,training
CML360,7.722048604,training
DAN360,8.260223977,training
YU374,7.953945309,training
GEMS65,7.669114554,training
M97,8.610256741,training
DAN3130,8.18802972,training
GEMS48,9.730568696,training
CIMBL38,8.277178689,training
CIMBL93,6.868843743,training
GEMS20,9.644998901,training
CIMBL10,8.050204319,training
LK11,7.389517478,training
GEMS33,8.789300956,training
CIMBL102,8.938412457,training
GEMS15,8.909876575,training
CIMBL16,8.551188712,training
CML121,8.599318217,training
GEMS39,8.567597397,training
CIMBL54,8.463680521,training
GEMS23,8.236986827,training
DAN4245,8.726205094,training
GY386,8.912127082,training
CIMBL82,8.767771484,training
CHANG3,7.864249414,training
JH96C,9.728173879,training
1462,9.699733717,training
GEMS31,8.933213792,training
CIMBL50,6.380623784,training
LIAO5262,9.583785364,training
GY1032,8.191858203,training
HYS,7.516404355,training
B113,9.122179657,training
M153,7.927692852,training
TY1,8.389298559,training
HZS,7.090895777,training
CML426,8.358670692,training
LIAO138,10.4698058,training
CIMBL142,8.748082141,training
DONG46,6.781071762,training
QI205,8.745894437,training
CIMBL92,7.284507649,training
CIMBL40,7.805181385,training
EN25,9.043422286,training
CIMBL51,8.693700913,training
GEMS44,8.8048591,training
K10,7.523332087,training
GEMS58,8.579266005,training
B111,7.704546965,training
CML432,9.214063258,training
CIMBL63,9.270943582,training
YE515,7.805181385,training
CML290,9.001855895,training
TY5,7.881751052,training
ES40,8.275537911,training
CIMBL143,8.826839513,training
CIMBL25,9.461273897,training
CML338,8.225220701,training
CML32,8.284321123,training
TY2,8.389298559,training
GEMS42,8.299219405,training
ZHENG32,7.813932204,training
CIMBL71,8.104896939,training
ZB648,8.332965161,training
S22,9.536918973,training
CIMBL53,9.181247686,training
CIMBL83,8.833402628,training
975-12,8.699952637,training
JI846,7.599537136,training
YE8001,7.428896164,training
CIMBL1,9.179059982,training
LIAO5114,7.846747776,training
CIMBL3,9.154995229,training
81162,8.448366588,training
ZHENG653,7.943006786,training
GEMS35,8.672614872,training
GEMS59,8.937103328,training
YE52106,10.14602549,training
B73,8.050204319,training
B77,8.065847238,training
07KS4,8.448366588,training
CML165,7.822683023,training
DONG237,7.705640818,training
303WX,7.233643513,training
CML115,7.940819081,training
BY855,8.872781313,training
CIMBL139,8.128961691,training
05W002,8.631562726,training
CML130,7.435459279,training
CML486,8.890282952,training
GEMS54,7.960829763,training
Q1261,8.944975571,training
647,6.518810979,training
GEMS51,8.349783375,training
CIMBL98,9.418987809,training
W138,7.982415694,training
BY4960,9.141869,training
CML479,9.19218621,training
CML170,8.822464104,training
CIMBL116,7.9495699,training
ZHENG30,7.894877281,training
7327,9.43502144,training
GEMS13,9.178254567,training
CIMBL13,10.03226484,training
CIMBL87,7.779658163,training
CIMBL151,9.124367362,training
GEMS55,8.750405595,training
CIMBL81,7.540469108,training
CIMBL15,8.831214923,training
CML191,8.054579729,training
CIMBL6,7.748301061,training
DH3732,8.295227254,training
CIMBL43,9.039046876,training
GEMS6,8.637609047,training
GY462,7.498355791,training
HTH-17,8.006450224,training
CIMBL77,9.299383744,training
B11,7.914224959,training
CML163,8.800587056,training
ZZ01,9.041234581,training
CIMBL19,7.805181385,training
CIMBL60,8.500871502,training
7884-4HT,7.214501097,training
GEMS11,7.53298079,training
CIMBL115,10.04101566,training
CML298,8.791836237,training
CIMBL106,8.314916597,training
BY807,10.41292547,training
4F1,8.485557569,training
K22,8.872781313,training
5237,8.730580503,training
CIMBL121,8.369609216,training
GY1007,8.90778459,training
LY042,9.981947633,training
CIMBL109,7.640774762,training
CI7,7.808794892,training
SY1032,8.954132115,training
CML327,8.032702681,training
GEMS49,8.279771725,training
CIMBL122,8.249285454,training
GEMS40,8.742626522,training
CIMBL48,6.897283905,training
JI63,8.04582891,training
177,8.336793644,training
K12,8.23834693,training
GEMS37,9.162696423,training
CHUAN48-2,8.988729666,training
SI446,8.545283131,training
GEMS63,8.190312394,training
CML431,7.778928928,training
GEMS16,8.618161367,training
CIMBL23,9.104678019,training
CIMBL152,7.892689576,training
JH59,8.505246912,training
CIMBL89,7.658605165,training
GEMS3,7.18292254,training
CIMBL156,9.058736219,training
238,9.38907964,training
B151,8.680263294,training
SY1128,9.474400126,training
B110,8.450554293,training
CIMBL147,9.515966516,training
YE478,8.478994455,training
ZHONG69,10.01695091,training
GEMS29,8.473276146,training
GY923,7.962813345,training
GEMS30,8.155306569,training
8902,8.513997731,training
CML118,8.859655085,training
GEMS56,7.595213368,training
268,8.844888078,training
GEMS60,8.5248125,training
CIMBL145,8.164694202,training
CML169,8.603693627,training
MO17,8.301790368,training
CIMBL141,8.23397152,training
ZHENG29,8.393673968,training
CIMBL17,7.490151898,training
WH413,7.492339603,training
CML470,7.820495318,training
CML116,8.13771251,training
TIAN77,8.174903491,training
K14,7.125513029,training
LIAO159,8.662761655,training
GEMS64,7.606881977,training
BY809,9.657016327,training
CIMBL129,8.524936255,training
FCD0602,8.726205094,training
5213,8.33023053,training
L3180,9.059562182,training
CIMBL90,7.812838352,training
CIMBL29,7.883938757,training
CIMBL70,9.181247686,training
9642,9.560822237,training
GEMS61,8.085294919,training
GEMS5,9.057678948,training
SY1039,8.310541187,training
CML415,8.557751826,training
CIMBL56,8.951538685,training
CIMBL111,9.253441944,training
GEMS62,7.599102904,training
CIMBL22,7.724236308,training
GEMS66,7.921934402,training
CIMBL137,7.754605836,training
GEMS18,8.87487075,training
TY4,8.964664914,training
SW92E114,9.301571449,training
CIMBL32,9.360639478,training
CML422,6.958539638,training
CIMBL52,9.043422286,training
BY804,9.012794419,training
LX9801,7.730799423,training
CIMBL150,9.450335373,training
7381,9.180959291,training
CIMBL124,8.892470656,training
GEMS2,8.135858888,training
CIMBL94,7.299821583,training
526018,8.756832961,training
CML171,8.872781313,training
CIMBL47,8.437428064,training
TIE7922,7.700171556,training
CIMBL66,8.872781313,training
ZONG31,7.85710068,training
GEMS4,7.229596973,training
GEMS14,9.39606859,training
P178,9.835371413,training
SHEN5003,7.702359261,training
CIMBL157,6.639134742,training
CIMBL55,8.347732168,training
CIMBL74,9.550969793,training
R15X1141,8.166152672,training
CIMBL113,8.964664914,training
ZHENG28,9.500652583,training
WU109,8.031608829,training
D863F,9.209687848,training
CIMBL21,8.058955138,training
CML192,9.056548514,training
CHENG698,9.209687848,training
CIMBL79,8.503059207,training
CML304,7.991136291,training
CIMBL133,7.960508424,training
CIMBL86,9.242566672,training
ZZ03,8.172715787,training
BY4839,8.492120683,training
CIMBL105,8.892470656,training
CML122,7.943006786,training
CIMBL127,9.275318991,training
XUN971,9.789648383,training
CIMBL68,8.691201817,training
DAN599,9.314697677,training
BZN,7.735904067,training
GEMS25,9.39606859,training
BS16,7.724236308,training
835B,9.135305886,training
CML325,8.382735445,training
CIMBL58,7.868624823,training
CML423,8.013013338,training
CIMBL140,7.932068262,training
CIMBL123,8.675887884,training
GEMS50,8.236986827,training
CIMBL11,9.511591107,training
ZAC546,8.478994455,training
CIMBL96,9.91194108,training
GY798,7.486756309,training
GEMS21,8.011393733,training
RY729,8.749707623,training
GEMS36,9.489417457,training
NAN21-3,8.919545406,training
CML480,8.43086495,training
CIMBL99,9.979759928,training
ZH68,7.492339603,training
CML189,7.831433842,training
CIMBL120,7.905815804,training
CML20,9.113428838,training
CIMBL101,9.273131287,training
CIMBL49,8.236159225,training
DAN340,9.752238632,training
CML433,9.235940306,training
CML114,7.700171556,training
XI502,8.187300485,training
CIMBL88,8.721829684,training
835A,8.564314941,training
TY11,8.918723114,training
TY3,8.724017389,training
CIMBL7,10.11758533,training
IRF314,7.789867452,training
150,8.415551016,training
CML361,7.789867452,training
GEMS46,8.772770427,training
CIMBL4,9.441584554,training
CML162,9.649416507,training
LG001,8.037078091,training
CIMBL28,9.859436165,training
GEMS1,8.489806675,training
CIMBL84,7.109491268,training
ZHENG35,8.048016615,training
SI434,7.1672847,training
SC55,7.743925651,training
CIMBL114,8.262411682,training
JI853,9.039046876,training
GEMS28,8.431463633,training
BY4944,9.157182934,training
HUA83-2,8.612444446,training
ZHI41,8.428677245,training
SY1035,7.215357126,training
4019,8.481182159,training
MO113,7.579847793,training
CIMBL125,8.901221476,training
CML172,9.010606714,training
05WN230,8.66932477,validation
18-599,8.500871502,validation
B114,8.310541187,validation
CIMBL108,8.130833476,validation
CIMBL119,7.256067487,validation
CIMBL12,10.56825251,validation
CIMBL144,8.441074239,validation
CIMBL149,9.979759928,validation
CIMBL153,7.897064985,validation
CIMBL18,10.53981235,validation
CIMBL2,9.721610765,validation
CIMBL42,7.960508424,validation
CIMBL46,7.687045327,validation
CIMBL5,7.096365039,validation
CIMBL59,7.522967469,validation
CIMBL62,9.244691125,validation
CIMBL69,8.800587056,validation
CIMBL9,8.085207596,validation
CIMBL91,7.776741223,validation
CIMBL95,8.890282952,validation
CML139,8.446178883,validation
CML323,7.79986308,validation
CML411,8.693389522,validation
CML454,8.406800197,validation
CML50,7.726424013,validation
CML69,9.561908317,validation
GEMS17,7.595213368,validation
GEMS19,8.676504408,validation
GEMS32,8.816527709,validation
GEMS9,7.455190068,validation
JIAO51,8.45847273,validation
JY01,9.601287002,validation
LIAO5263,9.152807524,validation
LXN,9.726533101,validation
S37,8.877885958,validation
SI273,8.198968244,validation
Z2018F,9.826620594,validation
