,Leafnumberaboveear,group
647,4.351873538,training
K22,5.245737724,training
ZHENG30,5.636384414,training
CML496,6.29006107,training
4F1,5.157650725,training
CIMBL90,4.568808289,training
177,5.364463679,training
BY815,4.750267495,training
CIMBL25,6.512330282,training
LXN,5.701492195,training
SI273,5.673725641,training
D863F,5.767557444,training
FCD0602,5.605745458,training
CML454,6.6522573,training
526018,6.37842163,training
GEMS35,5.164229317,training
B11,5.102117618,training
R15,4.538169333,training
JH59,5.861115685,training
GEMS9,6.049336876,training
CIMBL51,5.825573729,training
07KS4,5.85660191,training
GEMS50,6.121260744,training
SY1128,5.702176101,training
ZHENG653,5.37116595,training
CML290,6.277887556,training
CIMBL69,4.391676824,training
CIMBL13,6.731863873,training
YE515,5.413294515,training
CIMBL22,6.43942598,training
CML479,6.859480596,training
CIMBL70,6.901198818,training
CIMBL71,7.241099736,training
GEMS4,6.749040684,training
GEMS30,5.97474916,training
CIMBL42,6.28746223,training
CML162,5.520530861,training
LIAO5263,5.591383447,training
CIMBL127,6.001589827,training
CIMBL56,4.977099735,training
GEMS48,5.222656361,training
CIMBL18,6.519169335,training
CML433,5.599453529,training
9642,5.445848406,training
CML20,5.69301177,training
TIE7922,4.929499928,training
GEMS21,6.875129441,training
GEMS36,6.117708948,training
RY729,5.661480754,training
JI63,5.222621726,training
GEMS66,5.980076854,training
JI853,6.001042703,training
DONG237,5.215235549,training
BZN,6.635022887,training
CML431,5.830750291,training
GY462,5.864535211,training
GEMS19,5.825573729,training
CIMBL62,5.999674893,training
CIMBL98,5.608891422,training
CML325,6.358178034,training
WU109,4.490979869,training
U8112,5.402762374,training
5237,5.133714041,training
BY804,5.326164984,training
CIMBL86,5.023755786,training
TY3,5.059031586,training
CIMBL100,5.351879822,training
CIMBL48,5.952348648,training
CIMBL151,5.179398913,training
CML323,5.772344781,training
GEMS64,6.289971054,training
CML189,5.493721774,training
GEMS1,5.846884505,training
TY4,5.557872089,training
WH413,4.435720324,training
SHEN5003,5.120993403,training
GEMS39,5.448195405,training
CIMBL133,4.585085234,training
CML493,5.937986637,training
B111,5.928822307,training
CIMBL123,5.697662326,training
SY1035,7.058934884,training
XUN971,5.546519261,training
CIMBL83,5.490302248,training
CIMBL17,6.520263583,training
CIMBL121,5.759897705,training
JI842,5.006174395,training
YE8001,4.889423079,training
B114,5.043712108,training
HZS,4.722960537,training
GEMS13,5.68261394,training
CIMBL49,5.6631935,training
05W002,5.914049953,training
18-599,5.514786057,training
SC55,6.134130668,training
ZB648,5.460210416,training
GEMS16,5.788279871,training
CIMBL109,6.235806165,training
ZHENG35,5.728848406,training
CIMBL15,6.085436613,training
DAN340,4.847431295,training
HTH-17,5.232333181,training
CIMBL58,5.627767207,training
TY1,6.559382964,training
GEMS62,5.085912215,training
LV28,5.967668126,training
CIMBL3,5.660868222,training
JH96C,6.029903505,training
CIMBL9,6.378011287,training
CIMBL124,6.058490746,training
CML486,5.974370397,training
BY855,5.479359764,training
CML116,6.115118102,training
CIMBL68,6.879724192,training
CIMBL99,6.519169335,training
CIMBL88,5.857559378,training
CIMBL84,5.912135018,training
CIMBL38,6.314271316,training
CIMBL143,5.114564693,training
XI502,5.040429362,training
CML115,6.161076536,training
GEMS14,5.539654152,training
CIMBL2,5.419586443,training
CIMBL21,5.728164501,training
GEMS42,6.024474304,training
CHENG698,5.440377164,training
BY4839,5.439146134,training
GEMS2,5.558301081,training
CIMBL19,7.230567595,training
GEMS29,5.521007223,training
GEMS17,6.420499556,training
GEMS33,6.217159236,training
CML170,5.505211383,training
CML432,4.876428879,training
CIMBL55,5.276103118,training
GEMS55,5.061049644,training
BY4960,5.410832456,training
J4112,5.263502014,training
CIMBL1,5.376910755,training
CIMBL91,6.191852273,training
CIMBL129,5.262972137,training
LG001,5.520530861,training
CIMBL59,5.853729508,training
LIAO5262,5.910220083,training
LX9801,5.423553094,training
GEMS32,5.259950218,training
YU374,5.510956187,training
CIMBL157,6.475125835,training
ZZ03,5.448720808,training
CIMBL16,5.613405197,training
DAN599,5.007328347,training
SW92E114,6.149450146,training
238,5.498509112,training
CIMBL29,6.118947971,training
BS16,5.449267932,training
GEMS20,5.962317874,training
CIMBL81,6.03181844,training
CIMBL6,7.235354932,training
JI846,5.923761408,training
SY1032,5.548533642,training
TY11,5.126054302,training
CML422,6.000085236,training
CIMBL12,5.937986637,training
CIMBL77,5.600410997,training
CIMBL74,5.993519745,training
TY2,5.66702337,training
CML327,5.693695675,training
CIMBL87,5.753195434,training
GEMS59,6.049336876,training
CML163,5.128926704,training
ZHENG29,5.241907855,training
GEMS28,6.06301129,training
SI434,5.570732367,training
K10,4.94796537,training
1462,6.547893356,training
CML121,5.403035936,training
RY713,5.191578146,training
CIMBL144,6.149450146,training
CIMBL40,6.515339465,training
GEMS61,5.869083229,training
CIMBL96,5.45542308,training
JIAO51,5.699484971,training
CIMBL147,5.588511045,training
CML171,6.981626077,training
CIMBL94,5.574149034,training
CML298,6.113750291,training
CIMBL50,5.707121333,training
GEMS65,5.604474429,training
DAN360,5.629682142,training
CIMBL11,6.328770108,training
L3180,5.368108499,training
4019,5.538722741,training
975-12,5.503296448,training
GEMS10,6.232254368,training
CML50,5.570455946,training
ZAC546,5.230418246,training
CIMBL108,7.304896755,training
M153,5.883410997,training
CIMBL89,5.294158217,training
CML361,5.270631876,training
CIMBL54,5.823637676,training
CIMBL10,6.729812157,training
5213,6.558425497,training
LY042,5.717769141,training
CML130,4.758386829,training
CIMBL28,6.119768658,training
CIMBL141,5.779047053,training
B77,5.624186897,training
CIMBL114,5.795187217,training
CIMBL53,6.04084599,training
CML423,5.780961987,training
GEMS11,6.179865378,training
268,5.635426946,training
ZONG31,4.650817208,training
LIAO5114,6.048095385,training
GY386,5.275045351,training
CIMBL145,5.451866772,training
CIMBL137,5.219886105,training
DH3732,4.927858555,training
CML165,5.346271799,training
CIMBL82,6.094053819,training
CIMBL101,5.401804906,training
GY1007,4.983528444,training
DONG46,5.003332959,training
CML324,5.241771074,training
CIMBL156,5.647874022,training
CML139,5.738833423,training
CIMBL46,5.301270832,training
TY5,5.33861206,training
MO113,5.209217183,training
ZHENG32,5.555136468,training
CIMBL119,6.061363148,training
CML192,5.219886105,training
CIMBL32,6.350655076,training
GEMS49,6.067983805,training
CML32,5.551306598,training
CML338,5.440103601,training
CIMBL7,5.388400363,training
GEMS58,5.676398298,training
CIMBL113,6.669491713,training
LIAO159,5.495636709,training
B110,6.034690842,training
303WX,4.880121967,training
CML415,5.467870155,training
CML426,5.74362076,training
CIMBL142,5.808454979,training
GY1032,5.084609643,training
CML172,6.547893356,training
JY01,5.772755124,training
GEMS44,4.686867937,training
CIMBL79,4.934560827,training
GEMS31,5.97474916,training
CIMBL139,5.625852272,training
CIMBL150,5.577021436,training
CIMBL140,6.249300315,training
CIMBL153,5.42957146,training
W138,5.235087647,training
CHANG3,5.390999203,training
TY6,5.73979089,training
CIMBL93,5.945646376,training
CIMBL122,5.491396497,training
CIMBL23,7.065472863,training
BY807,4.838814089,training
EN25,4.935518294,training
ES40,5.870963921,training
CHUAN48-2,6.441888039,training
BY813,4.837286496,training
CML31,6.678108919,training
81162,5.472520711,training
LIAO138,4.931688425,training
CML480,5.960965854,training
7381,4.899442926,training
M97,5.579893838,training
CML134,4.86753811,training
GEMS5,6.430266995,training
P178,4.698339947,training
CIMBL63,6.097199784,training
K12,5.603009836,training
SY1039,6.373497512,training
CIMBL60,6.009386347,training
MO17,5.213183833,training
ZHENG28,4.970671025,training
CIMBL75,5.498509112,training
835A,5.068606259,training
YE478,5.016219116,training
CIMBL5,6.250941688,training
CIMBL27,6.731727092,training
CML360,5.571686975,training
ZHONG69,5.1231819,training
ZHI41,6.21086484,training
S37,5.7981964,training
CIMBL52,6.569915106,training
ZZ01,5.889155801,training
GEMS40,5.887730158,training
CIMBL95,6.152048986,training
BY809,5.091239909,training
CIMBL43,5.367336081,training
CML304,6.726939755,training
BY4944,5.251482528,training
XZ698,5.373080885,training
GY798,5.154639468,training
B113,6.150544395,training
835B,4.731577743,training
CIMBL116,5.531473345,training
B151,4.828281948,training
NAN21-3,4.84278074,training
B73,5.536807806,training
7884-4HT,5.378825689,training
LK11,5.27500887,training
GEMS25,6.179865378,training
CML169,6.996124869,training
CML411,5.47361496,training
CML69,6.439699542,training
CIMBL106,6.884921872,training
CIMBL47,4.464444345,training
GEMS18,6.205971079,training
S22,4.597057469,training
IRF314,5.327122451,training
CIMBL115,5.652934921,training
GEMS3,6.515510098,training
QI205,5.831707758,training
GEMS23,6.665928658,training
7327,6.040435646,training
CIMBL152,5.313717908,training
SY1052,5.589468512,training
YE52106,4.779451112,training
CIMBL105,6.278845023,training
CIMBL4,6.102944588,training
CML191,7.398124386,training
CML122,5.854413413,training
CIMBL111,5.649788957,training
150,5.446805873,validation
8902,5.342441929,validation
05WN230,6.219482046,validation
CA47,5.519573394,validation
CI7,5.802487055,validation
CIMBL102,5.750323031,validation
CIMBL120,6.383208967,validation
CIMBL125,6.133993887,validation
CIMBL149,6.066697609,validation
CIMBL66,4.558412929,validation
CIMBL92,6.311398914,validation
CML114,6.51342453,validation
CML118,5.610669576,validation
CML470,5.071478662,validation
DAN3130,5.380740624,validation
DAN4245,6.426294999,validation
GEMS15,6.37255031,validation
GEMS37,5.949886588,validation
GEMS41,5.707476512,validation
GEMS46,5.315891005,validation
GEMS51,5.906377087,validation
GEMS54,5.291028433,validation
GEMS56,5.51479158,validation
GEMS6,5.63910444,validation
GEMS60,4.762698781,validation
GEMS63,5.980964803,validation
GY923,5.993396089,validation
HUA83-2,5.375679725,validation
HYS,4.471146617,validation
K14,5.204009432,validation
Q1261,5.453508145,validation
R15X1141,5.143288715,validation
SI446,5.688829583,validation
SY3073,6.466508629,validation
TIAN77,5.02059611,validation
Z2018F,5.577021436,validation
ZH68,5.556914621,validation
