,PH-2019LS,group
ER288,64.8333333333333,training
ER227,79.8,training
ER314,78.2,training
ER391,84.25,training
ER339,86.2,training
ER293,75.8,training
ER259,62.4,training
ER231,95.6,training
ER285,67.6,training
ER139,79.8,training
ER296,83.6,training
ER333,62.6,training
ER071,100.6,training
ER007,99.0,training
ER299,60.0,training
ER435,64.6,training
ER123,110.2,training
ER381,94.8,training
ER157,90.0,training
ER009,80.0,training
ER370,73.0,training
ER439,72.4,training
ER392,74.2,training
ER216,71.2,training
ER276,90.4,training
ER434,75.6,training
ER418,61.6666666666667,training
ER337,62.4,training
ER390,64.0,training
ER120,48.6,training
ER414,71.4,training
ER171,77.0,training
ER019,90.6,training
ER080,67.8,training
ER438,68.2,training
ER427,66.4,training
ER173,77.2,training
ER031,103.8,training
ER249,93.5,training
ER294,71.0,training
ER174,110.2,training
ER374,130.0,training
ER436,67.3333333333333,training
ER224,56.8,training
ER165,110.4,training
ER068,112.0,training
ER134,75.4,training
ER053,72.0,training
ER015,93.2,training
ER042,67.0,training
ER027,95.0,training
ER197,61.4,training
ER065,70.6,training
ER035,70.8,training
ER295,101.6,training
ER302,120.4,training
ER153,100.4,training
ER058,67.4,training
ER083,104.8,training
ER150,58.8333333333333,training
ER353,83.4,training
ER275,64.75,training
ER146,68.0,training
ER360,92.0,training
ER265,83.0,training
ER004,109.2,training
ER336,94.4,training
ER132,75.6,training
ER416,71.4,training
ER109,82.0,training
ER322,94.8,training
ER426,74.0,training
ER219,91.2,training
ER002,107.4,training
ER190,63.6,training
ER247,69.4,training
ER196,84.0,training
ER270,90.2,training
ER310,90.2,training
ER327,91.2,training
ER193,72.2,training
ER338,81.0,training
ER408,89.8,training
ER366,67.8,training
ER262,75.8,training
ER014,85.0,training
ER186,91.6,training
ER424,73.0,training
ER203,86.8,training
ER131,63.2,training
ER154,63.0,training
ER286,90.3333333333333,training
ER141,83.4,training
ER188,102.6,training
ER021,82.4,training
ER272,60.4,training
ER137,78.4,training
ER096,99.4,training
ER400,97.4,training
ER113,89.2,training
ER094,70.8,training
ER331,82.4,training
ER075,80.6,training
ER255,86.8,training
ER077,98.8,training
ER046,99.0,training
ER254,66.2,training
ER292,89.6,training
ER229,66.2,training
ER258,62.6,training
ER086,85.4,training
ER022,89.0,training
ER321,66.6,training
ER063,93.8,training
ER105,81.6,training
ER241,68.8,training
ER200,90.6,training
ER079,76.0,training
ER319,85.4,training
ER402,86.4,training
ER126,82.8,training
ER036,74.2,training
ER405,76.8,training
ER415,68.4,training
ER024,92.8,training
ER421,74.8,training
ER078,83.6,training
ER016,67.8,training
ER144,82.8333333333333,training
ER243,96.8,training
ER038,65.2,training
ER283,86.2,training
ER389,98.4,training
ER407,89.4,training
ER280,64.3333333333333,training
ER212,87.0,training
ER010,87.4,training
ER432,63.8,training
ER026,90.0,training
ER239,53.6,training
ER361,97.2,training
ER012,68.8,training
ER324,69.2,training
ER234,87.8333333333333,training
ER111,75.2,training
ER198,63.4,training
ER045,86.0,training
ER155,67.2,training
ER248,66.2,training
ER099,70.0,training
ER393,83.2,training
ER320,84.0,training
ER147,70.0,training
ER223,68.0,training
ER208,121.0,training
ER308,64.0,training
ER420,60.2,training
ER008,103.2,training
ER376,94.6,training
ER067,82.0,training
ER328,89.4,training
ER385,78.8,training
ER136,83.6,training
ER220,69.0,training
ER100,88.2,training
ER277,66.2,training
ER177,104.6,training
ER103,73.0,training
ER013,88.6,training
ER114,63.8,training
ER030,71.0,training
ER388,63.2,training
ER325,76.2,training
ER138,71.6,training
ER364,103.6,training
ER363,86.4,training
ER260,69.4,training
ER202,77.4,training
ER278,89.8,training
ER291,72.0,training
ER297,61.2,training
ER351,69.4,training
ER281,72.3333333333333,training
ER411,96.6,training
ER056,73.8,training
ER025,81.4,training
ER081,68.0,training
ER355,149.666666666667,training
ER244,94.8,training
ER429,74.8,training
ER395,80.0,training
ER143,71.4,training
ER087,76.4,training
ER101,89.0,training
ER017,75.0,training
ER397,75.0,training
ER170,92.8,training
ER412,98.4,training
ER346,71.8,training
ER181,137.0,training
ER274,106.6,training
ER215,87.0,training
ER342,57.0,training
ER187,77.0,training
ER104,65.4,training
ER048,91.6,training
ER221,90.6,training
ER433,67.4,training
ER172,73.8,training
ER406,82.0,training
ER066,70.4,training
ER159,115.8,training
ER098,86.0,training
ER064,66.8,training
ER183,64.8,training
ER377,143.333333333333,training
ER348,80.6,training
ER313,57.4,training
ER029,79.8,training
ER135,62.8,training
ER011,98.6,training
ER330,60.6,training
ER128,79.4,training
ER384,98.2,training
ER121,65.2,training
ER357,131.0,training
ER369,63.2,training
ER266,94.8,training
ER124,73.25,training
ER316,79.6,training
ER358,63.5,training
ER211,83.8,training
ER059,103.2,training
ER350,78.0,training
ER440,62.2,training
ER425,68.4,training
ER062,68.6,training
ER179,69.6666666666667,training
ER084,66.2,training
ER092,76.2,training
ER060,101.2,training
ER116,68.0,training
ER236,55.6,training
ER093,80.2,training
ER251,71.0,training
ER082,74.0,training
ER305,91.4,training
ER166,130.2,training
ER020,83.2,training
ER088,73.0,training
ER264,75.0,training
ER210,85.4,training
ER149,87.2,training
ER122,78.2,training
ER089,107.2,training
ER335,95.6,training
ER222,67.4,training
ER070,89.0,training
ER162,122.6,training
ER430,103.5,training
ER028,79.8,training
ER271,67.6,training
ER129,85.0,training
ER245,85.2,training
ER176,64.4,training
ER052,77.2,training
ER160,147.25,training
ER252,74.6,training
ER362,83.0,training
ER282,79.8,training
ER332,70.8333333333333,training
ER300,69.6,training
ER359,72.0,training
ER057,124.0,training
ER273,76.0,training
ER189,89.8,training
ER233,87.1666666666667,training
ER399,76.0,training
ER378,99.4,training
ER256,64.2,training
ER178,65.8,training
ER287,68.6666666666667,training
ER108,78.0,training
ER085,96.0,training
ER341,136.333333333333,training
ER379,108.2,training
ER133,116.6,training
ER371,66.6,training
ER051,77.8,training
ER334,77.0,training
ER263,62.8,training
ER001,76.6,training
ER347,54.0,training
ER235,82.4,training
ER106,83.6,training
ER204,75.2,training
ER349,89.0,training
ER217,68.0,training
ER044,97.6,training
ER167,70.4,training
ER151,103.2,training
ER394,85.2,training
ER289,72.6,training
ER307,85.4,training
ER386,77.0,training
ER343,149.666666666667,training
ER422,70.2,training
ER368,81.2,training
ER040,85.0,training
ER033,108.0,training
ER354,91.4,training
ER375,97.8,training
ER148,107.6,training
ER403,87.6666666666667,training
ER269,82.0,training
ER218,95.2,training
ER284,66.4,training
ER115,72.0,training
ER097,56.6,training
ER110,79.0,training
ER226,58.4,training
ER298,87.5,training
ER023,80.8,training
ER184,74.2,training
ER268,63.0,training
ER267,74.6,training
ER054,77.8,training
ER032,79.2,training
ER095,91.2,training
ER367,73.0,training
ER312,96.4,training
ER317,99.6,training
ER207,80.8,training
ER164,114.2,training
ER279,92.6,training
ER340,101.6,training
ER428,73.25,training
ER257,68.0,training
ER043,90.4,training
ER191,82.0,training
ER061,64.8,training
ER182,102.8,training
ER356,67.6,training
ER225,66.1666666666667,training
ER073,82.0,training
ER303,119.0,training
ER372,75.0,training
ER413,98.4,training
ER232,57.2,training
ER180,64.4,training
ER228,47.2,training
ER112,63.0,training
ER140,68.2,training
ER401,88.3333333333333,training
ER117,83.8,training
ER237,73.8,training
ER437,67.2,training
ER213,90.4,training
ER206,99.6,training
ER194,66.0,training
ER005,94.0,training
ER315,86.0,training
ER409,87.25,training
ER253,92.0,training
ER398,83.6,training
ER118,69.6,training
ER158,108.2,training
ER074,69.0,training
ER311,72.0,training
ER152,97.6,training
ER125,83.0,training
ER169,93.6,training
ER344,66.6,training
ER050,69.4,training
ER423,73.4,training
ER301,162.333333333333,training
ER373,148.333333333333,training
ER380,66.0,training
ER037,75.6,training
ER161,97.4,validation
ER382,95.4,validation
ER250,87.2,validation
ER201,95.8,validation
ER383,85.8,validation
ER306,84.8333333333333,validation
ER230,80.4,validation
ER076,102.2,validation
ER130,83.0,validation
ER091,76.4,validation
ER041,73.6,validation
ER018,103.6,validation
ER034,106.6,validation
ER102,84.2,validation
ER352,63.2,validation
ER419,75.4,validation
ER049,76.8,validation
ER431,63.2,validation
ER326,162.666666666667,validation
ER199,150.75,validation
ER127,82.4,validation
ER246,95.4,validation
ER175,95.6,validation
ER006,88.75,validation
ER195,70.0,validation
ER404,81.8,validation
ER209,73.8,validation
ER396,78.8,validation
ER090,76.2,validation
ER145,69.1666666666667,validation
ER039,67.0,validation
ER214,93.8,validation
ER309,90.6,validation
ER055,72.2,validation
ER323,89.6,validation
ER156,67.6,validation
ER238,82.4,validation
ER242,146.0,validation
ER240,58.4,validation
ER192,79.4,validation
ER329,97.5,validation
ER261,66.8,validation
ER168,98.8,validation
