,SN-2019LS,group
ER369,13.4,training
ER352,10.8,training
ER257,11.2,training
ER291,8.8,training
ER172,7.6,training
ER301,9.2,training
ER239,9.8,training
ER071,12.0,training
ER255,10.75,training
ER110,14.6,training
ER439,7.6,training
ER358,9.8,training
ER329,9.66666666666667,training
ER100,12.4,training
ER293,12.4,training
ER004,9.0,training
ER225,12.6,training
ER429,11.6,training
ER341,9.4,training
ER139,12.2,training
ER039,14.0,training
ER102,13.8,training
ER246,6.8,training
ER025,7.6,training
ER337,11.0,training
ER217,10.4,training
ER151,8.8,training
ER235,11.0,training
ER077,11.6,training
ER383,14.2,training
ER415,11.3333333333333,training
ER005,11.0,training
ER152,12.2,training
ER300,11.8,training
ER194,10.4,training
ER328,10.6,training
ER249,7.0,training
ER147,13.1666666666667,training
ER096,9.4,training
ER322,10.2,training
ER040,10.2,training
ER362,13.4,training
ER087,12.6,training
ER143,13.2,training
ER092,14.0,training
ER212,9.5,training
ER177,8.0,training
ER379,10.4,training
ER019,12.8,training
ER370,11.2,training
ER397,12.4,training
ER179,5.8,training
ER050,16.2,training
ER088,14.2,training
ER263,9.6,training
ER284,12.4,training
ER132,15.4,training
ER419,12.0,training
ER229,11.4,training
ER061,16.2,training
ER149,12.8,training
ER115,11.6,training
ER377,9.2,training
ER277,13.2,training
ER270,7.8,training
ER060,12.0,training
ER020,12.6,training
ER224,11.0,training
ER312,12.2,training
ER210,17.0,training
ER056,18.0,training
ER243,11.4,training
ER063,10.0,training
ER117,9.2,training
ER037,12.8,training
ER434,11.0,training
ER168,12.6,training
ER276,11.8,training
ER252,8.6,training
ER234,9.4,training
ER180,11.2,training
ER058,13.2,training
ER398,13.4,training
ER068,11.0,training
ER375,9.8,training
ER195,9.0,training
ER208,11.8333333333333,training
ER034,10.0,training
ER404,16.8,training
ER364,10.0,training
ER113,10.8,training
ER343,9.0,training
ER435,11.6,training
ER248,10.6,training
ER159,6.4,training
ER356,13.2,training
ER289,9.2,training
ER382,12.8,training
ER213,8.66666666666667,training
ER192,11.2,training
ER211,7.4,training
ER299,10.8,training
ER233,10.6,training
ER413,9.8,training
ER302,8.4,training
ER219,6.8,training
ER045,12.2,training
ER091,10.2,training
ER111,11.4,training
ER287,9.8,training
ER298,11.1666666666667,training
ER339,9.4,training
ER197,11.2,training
ER285,10.6,training
ER245,8.4,training
ER140,13.6,training
ER108,13.2,training
ER372,8.8,training
ER288,10.6,training
ER400,9.6,training
ER065,12.8,training
ER354,10.8,training
ER166,11.6,training
ER332,13.4,training
ER340,8.4,training
ER145,12.3333333333333,training
ER129,15.0,training
ER350,17.4,training
ER256,7.8,training
ER175,9.6,training
ER078,16.6,training
ER187,10.8,training
ER267,12.3333333333333,training
ER416,12.8,training
ER137,14.2,training
ER388,11.6,training
ER336,12.0,training
ER089,11.8333333333333,training
ER055,13.2,training
ER408,10.3333333333333,training
ER131,15.8333333333333,training
ER361,10.2,training
ER207,10.6666666666667,training
ER274,7.6,training
ER104,14.0,training
ER101,9.66666666666667,training
ER011,10.4,training
ER010,10.6,training
ER196,10.8,training
ER053,13.8,training
ER428,13.0,training
ER308,11.4,training
ER295,10.0,training
ER275,10.0,training
ER022,9.8,training
ER015,7.2,training
ER363,15.4,training
ER309,11.4,training
ER049,12.2,training
ER024,12.2,training
ER297,11.2,training
ER095,10.2,training
ER164,13.4,training
ER420,16.4,training
ER176,11.0,training
ER042,18.0,training
ER431,12.0,training
ER407,13.6,training
ER320,14.0,training
ER250,8.2,training
ER221,7.8,training
ER390,9.6,training
ER242,8.8,training
ER138,12.8,training
ER016,14.2,training
ER173,10.2,training
ER116,16.6,training
ER046,15.0,training
ER084,16.2,training
ER122,14.6,training
ER109,11.6666666666667,training
ER106,11.1666666666667,training
ER331,8.0,training
ER424,16.5,training
ER353,13.2,training
ER307,9.8,training
ER013,7.8,training
ER201,11.6,training
ER030,15.2,training
ER036,11.8,training
ER001,12.0,training
ER123,11.8333333333333,training
ER282,12.8333333333333,training
ER156,13.6,training
ER099,10.4,training
ER241,8.6,training
ER237,9.6,training
ER080,17.6,training
ER083,8.4,training
ER406,11.4,training
ER303,8.4,training
ER062,12.8,training
ER230,7.6,training
ER103,12.1666666666667,training
ER031,7.8,training
ER054,18.6,training
ER206,9.83333333333333,training
ER272,10.4,training
ER315,9.6,training
ER395,13.0,training
ER373,9.6,training
ER059,14.2,training
ER258,6.8,training
ER278,8.6,training
ER333,13.6,training
ER359,11.0,training
ER204,10.2,training
ER134,13.6,training
ER126,12.6,training
ER324,10.8,training
ER209,11.1666666666667,training
ER265,9.0,training
ER292,9.16666666666667,training
ER418,14.2,training
ER306,9.5,training
ER127,14.6,training
ER335,8.5,training
ER385,14.4,training
ER157,11.4,training
ER070,11.6,training
ER066,16.6,training
ER334,7.16666666666667,training
ER038,20.8,training
ER260,10.1666666666667,training
ER305,12.6,training
ER098,8.83333333333333,training
ER184,13.1666666666667,training
ER171,13.6,training
ER214,8.4,training
ER338,10.4,training
ER348,9.4,training
ER391,9.0,training
ER169,13.4,training
ER118,14.2,training
ER271,10.1666666666667,training
ER411,11.0,training
ER433,14.0,training
ER190,11.4,training
ER067,12.4,training
ER326,7.6,training
ER161,10.0,training
ER097,18.8,training
ER261,8.4,training
ER367,10.0,training
ER240,10.6,training
ER325,9.2,training
ER402,14.2,training
ER073,12.4,training
ER227,12.1666666666667,training
ER141,12.5,training
ER438,8.66666666666667,training
ER021,11.8,training
ER421,11.0,training
ER014,10.2,training
ER170,10.2,training
ER023,14.2,training
ER231,8.6,training
ER378,9.6,training
ER216,8.6,training
ER423,11.6,training
ER033,10.6,training
ER182,10.8,training
ER188,10.0,training
ER165,12.0,training
ER125,13.2,training
ER226,11.6,training
ER199,8.2,training
ER247,9.8,training
ER399,13.4,training
ER136,17.8,training
ER264,9.33333333333333,training
ER128,12.6666666666667,training
ER093,11.8,training
ER064,21.8,training
ER251,7.5,training
ER027,10.4,training
ER384,11.0,training
ER044,10.2,training
ER124,15.8,training
ER368,11.8,training
ER414,14.6,training
ER198,12.4,training
ER405,14.0,training
ER135,12.4,training
ER007,11.8,training
ER236,9.8,training
ER232,8.2,training
ER376,11.4,training
ER351,10.4,training
ER409,18.75,training
ER436,11.0,training
ER280,11.0,training
ER349,10.6,training
ER366,9.8,training
ER085,9.0,training
ER283,8.8,training
ER294,10.8,training
ER035,13.4,training
ER218,8.4,training
ER422,12.4,training
ER162,9.8,training
ER254,9.0,training
ER028,11.6,training
ER155,12.8,training
ER074,14.6,training
ER238,10.0,training
ER311,9.8,training
ER167,7.0,training
ER148,10.6,training
ER296,9.8,training
ER215,8.83333333333333,training
ER120,8.8,training
ER026,12.8,training
ER380,14.4,training
ER189,10.3333333333333,training
ER374,10.8,training
ER018,12.8,training
ER002,21.8,training
ER244,11.6,training
ER130,13.4,training
ER041,19.6,training
ER273,17.6,training
ER269,8.6,training
ER319,10.0,training
ER357,8.6,training
ER043,10.4,training
ER112,15.8,training
ER381,13.2,training
ER393,17.8,training
ER012,15.2,training
ER310,9.8,training
ER076,10.6,training
ER154,12.6,training
ER327,12.0,training
ER266,8.0,training
ER086,14.4,training
ER181,7.8,training
ER355,10.2,training
ER286,7.66666666666667,training
ER342,14.2,training
ER008,7.4,training
ER029,14.0,training
ER017,14.2,training
ER094,10.6666666666667,training
ER090,11.6,training
ER279,10.0,training
ER432,12.1666666666667,training
ER344,9.2,training
ER425,12.2,training
ER259,6.6,training
ER394,14.25,training
ER079,12.4,training
ER316,8.0,training
ER186,9.6,training
ER153,12.4,training
ER427,11.4,training
ER032,15.4,training
ER081,14.0,training
ER360,8.4,training
ER202,8.2,training
ER437,12.6,training
ER220,11.6,training
ER346,12.8,training
ER389,7.66666666666667,training
ER082,9.6,training
ER193,11.4,training
ER048,12.6,training
ER321,8.2,training
ER330,9.83333333333333,validation
ER412,11.0,validation
ER009,13.8,validation
ER114,11.8,validation
ER133,11.8,validation
ER146,17.4,validation
ER203,8.6,validation
ER075,7.6,validation
ER392,21.8,validation
ER052,11.8,validation
ER057,13.2,validation
ER386,14.2,validation
ER121,17.0,validation
ER183,13.4,validation
ER371,10.6,validation
ER178,11.4,validation
ER191,11.0,validation
ER144,14.0,validation
ER440,10.1666666666667,validation
ER281,9.2,validation
ER006,9.75,validation
ER268,10.8,validation
ER158,12.2,validation
ER200,11.4,validation
ER396,10.8,validation
ER222,8.2,validation
ER105,16.4,validation
ER160,7.4,validation
ER228,13.2,validation
ER174,6.8,validation
ER313,12.6,validation
ER323,9.8,validation
ER401,12.2,validation
ER430,10.4,validation
ER051,13.2,validation
ER150,15.0,validation
ER262,7.4,validation
ER347,12.4,validation
ER314,9.4,validation
ER253,6.33333333333333,validation
ER223,10.4,validation
ER317,11.6666666666667,validation
ER403,17.5,validation
