,PH-LS2013,group
CH124,64.0,training
CH019,82.0,training
CH175,89.8333333333333,training
CH427,134.0,training
CH215,87.0,training
CH476,92.75,training
CH143,70.0,training
CH128,80.8333333333333,training
CH420,121.5,training
CH423,124.5,training
CH526,62.5,training
CH004,92.25,training
CH209,111.2,training
CH271,96.1666666666667,training
CH469,146.25,training
CH425,134.6,training
CH342,132.25,training
CH270,82.75,training
CH188,78.0,training
CH185,85.0,training
CH149,102.666666666667,training
CH314,130.0,training
CH439,132.0,training
CH080,102.333333333333,training
CH210,122.0,training
CH061,98.0,training
CH306,140.0,training
CH338,144.75,training
CH179,108.833333333333,training
CH079,90.1666666666667,training
CH412,82.75,training
CH097,75.0,training
CH226,141.2,training
CH445,112.25,training
CH132,85.5,training
CH119,77.3333333333333,training
CH371,103.6,training
CH339,120.5,training
CH157,98.1666666666667,training
CH380,122.5,training
CH054,74.0,training
CH072,83.3333333333333,training
CH473,104.0,training
CH275,135.25,training
CH367,142.25,training
CH195,118.5,training
CH382,98.5,training
CH062,77.6,training
CH254,87.75,training
CH315,128.5,training
CH066,117.8,training
CH434,127.5,training
CH266,123.25,training
CH142,65.5,training
CH016,104.25,training
CH046,137.333333333333,training
CH251,113.5,training
CH474,125.5,training
CH386,136.75,training
CH286,98.0,training
CH235,128.75,training
CH031,66.75,training
CH452,139.75,training
CH075,85.8333333333333,training
CH341,130.25,training
CH250,105.2,training
CH239,84.5,training
CH400,164.75,training
CH456,116.75,training
CH202,87.5,training
CH378,106.5,training
CH060,102.4,training
CH417,129.75,training
CH089,115.333333333333,training
CH009,103.0,training
CH328,76.0,training
CH421,99.0,training
CH288,97.25,training
CH431,125.75,training
CH077,78.6666666666667,training
CH147,69.8333333333333,training
CH138,101.0,training
CH277,128.25,training
CH459,146.75,training
CH364,131.0,training
CH265,120.25,training
CH234,104.8,training
CH140,73.5,training
CH358,99.0,training
CH525,81.25,training
CH519,125.75,training
CH227,140.5,training
CH020,109.25,training
CH199,137.0,training
CH197,112.333333333333,training
CH497,148.0,training
CH372,131.75,training
CH174,98.1666666666667,training
CH351,144.0,training
CH246,114.0,training
CH181,73.6666666666667,training
CH163,96.6666666666667,training
CH499,146.75,training
CH307,111.5,training
CH184,91.1666666666667,training
CH086,115.0,training
CH155,82.1666666666667,training
CH224,140.25,training
CH331,122.5,training
CH325,71.0,training
CH273,94.0,training
CH111,98.6666666666667,training
CH156,87.8333333333333,training
CH504,82.75,training
CH225,84.75,training
CH173,103.666666666667,training
CH222,122.5,training
CH289,89.5,training
CH057,97.3333333333333,training
CH144,64.3333333333333,training
CH261,199.5,training
CH322,117.75,training
CH466,152.5,training
CH108,84.6666666666667,training
CH409,140.75,training
CH297,154.75,training
CH052,85.75,training
CH145,108.0,training
CH212,96.25,training
CH496,160.75,training
CH122,91.1666666666667,training
CH245,98.5,training
CH200,87.1666666666667,training
CH043,145.25,training
CH164,84.0,training
CH397,98.2,training
CH464,137.5,training
CH405,127.0,training
CH082,71.8333333333333,training
CH454,138.0,training
CH051,87.6666666666667,training
CH509,121.5,training
CH116,114.5,training
CH167,89.8333333333333,training
CH393,130.5,training
CH483,119.75,training
CH040,68.75,training
CH279,124.5,training
CH416,126.75,training
CH090,54.5,training
CH414,81.75,training
CH152,84.3333333333333,training
CH413,79.75,training
CH344,149.0,training
CH276,135.0,training
CH058,97.0,training
CH073,105.833333333333,training
CH092,101.166666666667,training
CH008,113.0,training
CH027,94.75,training
CH192,80.1666666666667,training
CH377,108.25,training
CH381,130.0,training
CH287,86.75,training
CH317,136.25,training
CH268,99.5,training
CH501,128.5,training
CH011,93.5,training
CH503,130.25,training
CH462,145.0,training
CH162,91.0,training
CH460,144.166666666667,training
CH049,81.75,training
CH316,115.5,training
CH379,138.25,training
CH172,106.833333333333,training
CH182,83.3333333333333,training
CH243,129.75,training
CH457,124.2,training
CH206,112.0,training
CH403,106.0,training
CH461,148.5,training
CH012,94.0,training
CH001,104.333333333333,training
CH098,94.3333333333333,training
CH018,119.333333333333,training
CH470,122.0,training
CH392,113.5,training
CH468,147.0,training
CH514,102.75,training
CH007,127.0,training
CH520,107.75,training
CH505,129.75,training
CH326,84.0,training
CH296,137.25,training
CH433,120.5,training
CH319,130.5,training
CH044,134.0,training
CH136,91.5,training
CH354,154.333333333333,training
CH113,96.1666666666667,training
CH401,102.25,training
CH370,94.5,training
CH230,77.0,training
CH489,133.25,training
CH490,123.25,training
CH221,104.0,training
CH411,127.75,training
CH242,101.75,training
CH524,153.666666666667,training
CH249,87.75,training
CH350,131.2,training
CH295,94.75,training
CH232,120.75,training
CH084,97.8333333333333,training
CH388,109.25,training
CH204,115.25,training
CH356,129.25,training
CH201,90.1666666666667,training
CH033,116.25,training
CH034,80.0,training
CH030,80.5,training
CH026,112.0,training
CH065,87.1666666666667,training
CH391,78.75,training
CH498,140.25,training
CH131,71.1666666666667,training
CH467,147.0,training
CH293,124.5,training
CH003,104.25,training
CH487,116.25,training
CH150,92.8333333333333,training
CH404,123.25,training
CH160,154.166666666667,training
CH133,76.0,training
CH375,139.4,training
CH291,103.0,training
CH074,90.6666666666667,training
CH387,93.75,training
CH424,139.5,training
CH472,119.333333333333,training
CH363,81.0,training
CH217,127.25,training
CH396,117.75,training
CH078,86.0,training
CH330,138.5,training
CH014,107.0,training
CH253,60.5,training
CH083,84.6666666666667,training
CH013,98.25,training
CH171,104.833333333333,training
CH410,129.166666666667,training
CH028,80.0,training
CH369,141.5,training
CH290,113.0,training
CH139,59.8333333333333,training
CH333,136.75,training
CH252,77.75,training
CH186,94.5,training
CH422,120.75,training
CH373,125.5,training
CH159,56.3333333333333,training
CH126,94.8333333333333,training
CH389,98.0,training
CH366,128.25,training
CH203,113.5,training
CH332,144.5,training
CH106,171.666666666667,training
CH093,77.8333333333333,training
CH480,144.333333333333,training
CH099,103.833333333333,training
CH337,117.25,training
CH096,113.166666666667,training
CH303,128.5,training
CH214,123.0,training
CH438,133.75,training
CH047,150.5,training
CH402,102.75,training
CH280,153.0,training
CH446,129.25,training
CH491,84.75,training
CH045,147.5,training
CH032,103.333333333333,training
CH432,143.75,training
CH440,138.25,training
CH154,77.1666666666667,training
CH168,140.666666666667,training
CH085,111.166666666667,training
CH048,104.75,training
CH302,111.0,training
CH451,114.5,training
CH327,134.0,training
CH486,124.4,training
CH036,105.0,training
CH384,131.75,training
CH305,134.0,training
CH064,89.5,training
CH153,104.0,training
CH002,113.5,training
CH042,95.75,training
CH436,150.0,training
CH134,78.1666666666667,training
CH281,82.5,training
CH398,139.0,training
CH121,64.3333333333333,training
CH169,138.666666666667,training
CH463,141.0,training
CH101,103.0,training
CH318,134.75,training
CH187,93.8333333333333,training
CH465,146.25,training
CH267,95.5,training
CH360,129.0,training
CH006,100.75,training
CH257,87.0,training
CH376,130.5,training
CH035,74.25,training
CH228,158.5,training
CH274,117.5,training
CH135,89.0,training
CH211,130.25,training
CH441,129.5,training
CH176,85.0,training
CH353,134.25,training
CH177,125.5,training
CH218,114.0,training
CH223,106.25,training
CH205,107.0,training
CH038,102.25,training
CH495,134.75,training
CH141,66.5,training
CH180,79.6666666666667,training
CH292,113.25,training
CH475,141.0,training
CH294,105.0,training
CH406,73.2,training
CH244,139.75,training
CH407,132.0,training
CH329,114.75,training
CH183,93.1666666666667,training
CH324,130.0,training
CH394,117.75,training
CH005,92.5,training
CH299,122.25,training
CH229,135.0,training
CH399,140.75,training
CH076,78.5,training
CH050,71.3333333333333,training
CH117,80.1666666666667,training
CH247,83.75,training
CH255,83.75,training
CH320,138.5,training
CH522,64.5,training
CH105,73.5,training
CH272,94.5,training
CH484,174.2,training
CH191,86.3333333333333,training
CH435,127.25,training
CH258,97.0,training
CH479,150.5,training
CH506,96.75,training
CH458,145.0,training
CH492,114.25,training
CH194,101.5,training
CH260,125.5,training
CH220,112.75,training
CH256,120.0,training
CH313,128.5,training
CH428,161.25,training
CH334,111.75,training
CH500,118.0,training
CH368,125.75,training
CH502,136.75,training
CH029,86.75,training
CH278,151.25,training
CH059,87.5,training
CH170,92.6666666666667,training
CH231,126.0,training
CH198,151.166666666667,training
CH455,136.75,training
CH283,88.1666666666667,training
CH269,84.0,training
CH259,158.0,training
CH063,64.3333333333333,training
CH357,132.25,training
CH346,128.0,training
CH444,124.25,training
CH390,86.5,training
CH165,79.8333333333333,training
CH488,97.5,training
CH361,141.0,training
CH127,84.1666666666667,training
CH207,98.0,training
CH056,111.5,training
CH415,127.25,training
CH262,142.25,training
CH041,154.5,training
CH365,106.5,training
CH481,137.75,training
CH189,100.166666666667,training
CH010,102.25,validation
CH039,106.0,validation
CH055,114.75,validation
CH081,88.8333333333333,validation
CH114,80.5,validation
CH123,76.1666666666667,validation
CH125,95.5,validation
CH129,84.5,validation
CH130,84.5,validation
CH137,77.6666666666667,validation
CH146,68.1666666666667,validation
CH148,71.1666666666667,validation
CH158,82.6666666666667,validation
CH166,85.3333333333333,validation
CH190,88.8333333333333,validation
CH193,88.6666666666667,validation
CH196,100.333333333333,validation
CH208,105.0,validation
CH213,74.5,validation
CH240,123.0,validation
CH241,104.833333333333,validation
CH248,90.5,validation
CH343,150.0,validation
CH345,137.25,validation
CH349,129.25,validation
CH352,184.0,validation
CH355,171.6,validation
CH359,120.0,validation
CH362,119.5,validation
CH374,119.5,validation
CH383,132.75,validation
CH408,125.5,validation
CH426,131.0,validation
CH429,105.0,validation
CH437,148.75,validation
CH443,134.25,validation
CH453,138.0,validation
CH471,123.75,validation
CH477,135.0,validation
CH478,141.25,validation
CH482,141.0,validation
CH485,93.75,validation
CH494,118.75,validation
CH507,126.75,validation
CH511,95.25,validation
