,SLW-LS2013,group
CH143,1.4,training
CH113,1.8,training
CH009,1.18,training
CH227,1.28,training
CH134,1.56,training
CH202,0.96,training
CH182,1.66,training
CH474,1.52,training
CH390,1.24,training
CH106,1.6,training
CH439,1.52,training
CH402,1.06,training
CH051,1.36,training
CH280,1.86,training
CH281,1.44,training
CH326,2.06,training
CH260,1.98,training
CH234,1.7,training
CH405,1.42,training
CH057,1.32,training
CH099,1.54,training
CH185,1.34,training
CH480,1.9,training
CH506,1.36,training
CH127,1.4,training
CH230,1.62,training
CH371,1.54,training
CH463,1.18,training
CH034,1.24,training
CH176,1.52,training
CH124,1.38,training
CH438,1.48,training
CH503,1.32,training
CH296,1.62,training
CH065,1.34,training
CH259,1.44,training
CH398,1.2,training
CH256,1.92,training
CH203,1.48,training
CH274,1.3,training
CH500,1.38,training
CH342,1.58,training
CH235,1.68,training
CH132,1.44,training
CH473,1.58,training
CH451,1.48,training
CH478,1.56,training
CH283,1.44,training
CH249,1.84,training
CH174,1.42,training
CH261,1.76,training
CH329,1.22,training
CH522,1.54,training
CH504,1.86,training
CH213,1.48,training
CH407,1.28,training
CH332,1.68,training
CH288,1.2,training
CH074,1.2,training
CH005,1.08,training
CH273,1.48,training
CH002,1.34,training
CH036,1.48,training
CH315,1.68,training
CH226,1.5,training
CH363,1.6,training
CH520,1.14,training
CH293,1.48,training
CH170,1.32,training
CH004,1.18,training
CH408,1.56,training
CH334,1.62,training
CH244,1.4,training
CH232,2.1,training
CH494,1.38,training
CH365,1.6,training
CH184,1.56,training
CH138,1.6,training
CH391,1.26,training
CH316,1.46,training
CH181,1.54,training
CH444,1.66,training
CH147,1.74,training
CH006,1.32,training
CH495,1.26,training
CH177,1.8,training
CH035,1.12,training
CH327,1.28,training
CH445,1.68,training
CH358,1.06,training
CH133,1.34,training
CH406,1.44,training
CH476,1.44,training
CH460,1.08,training
CH049,1.38,training
CH524,1.24,training
CH173,1.48,training
CH267,1.8,training
CH330,1.46,training
CH045,1.26,training
CH489,1.44,training
CH351,1.28,training
CH313,1.6,training
CH114,1.28,training
CH255,1.8,training
CH291,1.58,training
CH462,1.44,training
CH356,1.44,training
CH019,1.7,training
CH415,1.48,training
CH097,1.32,training
CH420,1.44,training
CH414,1.14,training
CH441,1.5,training
CH061,1.58,training
CH198,1.5,training
CH098,1.82,training
CH456,1.22,training
CH109,2.02,training
CH066,1.42,training
CH471,1.62,training
CH466,1.64,training
CH228,1.86,training
CH511,1.44,training
CH400,1.74,training
CH352,1.74,training
CH328,1.6,training
CH105,1.8,training
CH196,0.9,training
CH381,1.62,training
CH077,1.22,training
CH003,1.34,training
CH073,1.44,training
CH525,1.38,training
CH043,1.16,training
CH199,1.58,training
CH018,1.1,training
CH499,1.72,training
CH262,1.64,training
CH317,1.46,training
CH437,1.58,training
CH279,1.48,training
CH372,1.18,training
CH013,1.08,training
CH427,1.64,training
CH509,1.36,training
CH403,1.0,training
CH156,1.24,training
CH083,1.54,training
CH080,1.52,training
CH459,1.52,training
CH297,1.74,training
CH163,2.14,training
CH453,1.32,training
CH200,1.06,training
CH435,1.14,training
CH428,1.78,training
CH457,1.2,training
CH210,1.22,training
CH064,1.48,training
CH093,1.44,training
CH488,1.36,training
CH179,1.44,training
CH207,1.16,training
CH001,1.26,training
CH183,1.68,training
CH145,1.8,training
CH265,1.28,training
CH048,1.54,training
CH319,1.32,training
CH136,1.5,training
CH307,1.6,training
CH377,1.3,training
CH349,1.4,training
CH303,1.44,training
CH111,1.36,training
CH387,1.12,training
CH434,1.16,training
CH276,1.46,training
CH231,2.1,training
CH241,1.68,training
CH497,1.38,training
CH215,1.56,training
CH490,1.44,training
CH101,1.64,training
CH142,1.6,training
CH350,1.26,training
CH370,1.06,training
CH479,1.22,training
CH205,1.36,training
CH240,1.5,training
CH229,1.48,training
CH337,1.38,training
CH401,1.08,training
CH063,1.12,training
CH446,1.2,training
CH410,1.54,training
CH160,1.68,training
CH032,1.32,training
CH042,1.32,training
CH223,1.52,training
CH492,1.56,training
CH314,1.54,training
CH225,1.46,training
CH081,1.94,training
CH165,1.32,training
CH126,1.44,training
CH411,1.56,training
CH123,1.72,training
CH364,1.62,training
CH425,1.48,training
CH140,1.86,training
CH157,1.68,training
CH399,1.52,training
CH443,1.54,training
CH247,1.42,training
CH299,1.74,training
CH038,1.54,training
CH044,1.16,training
CH129,1.12,training
CH180,1.5,training
CH373,1.46,training
CH148,1.72,training
CH268,1.02,training
CH029,1.4,training
CH096,1.68,training
CH078,1.76,training
CH211,1.18,training
CH172,1.46,training
CH026,1.68,training
CH455,1.4,training
CH481,1.64,training
CH030,1.22,training
CH059,1.2,training
CH413,1.22,training
CH277,1.48,training
CH245,1.56,training
CH287,1.36,training
CH075,1.44,training
CH248,1.42,training
CH141,1.52,training
CH454,1.66,training
CH062,1.76,training
CH020,1.22,training
CH209,1.72,training
CH338,1.1,training
CH166,1.3,training
CH164,1.2,training
CH376,1.48,training
CH212,1.76,training
CH250,1.46,training
CH270,1.88,training
CH108,1.38,training
CH385,1.44,training
CH194,1.42,training
CH041,1.4,training
CH167,1.82,training
CH016,1.54,training
CH011,0.92,training
CH258,1.5,training
CH388,1.32,training
CH218,1.32,training
CH090,1.32,training
CH121,1.38,training
CH054,1.52,training
CH519,1.42,training
CH491,2.12,training
CH243,1.58,training
CH331,1.16,training
CH012,1.08,training
CH076,1.12,training
CH008,1.3,training
CH221,1.48,training
CH386,1.3,training
CH153,1.38,training
CH355,1.88,training
CH052,1.08,training
CH465,1.44,training
CH072,1.46,training
CH187,1.84,training
CH039,1.42,training
CH056,1.22,training
CH130,1.14,training
CH339,1.18,training
CH514,1.22,training
CH159,1.52,training
CH191,1.38,training
CH333,1.64,training
CH502,1.58,training
CH396,1.32,training
CH367,1.56,training
CH432,1.44,training
CH429,1.1,training
CH086,1.64,training
CH470,1.42,training
CH378,1.56,training
CH082,1.08,training
CH286,1.68,training
CH116,1.7,training
CH144,1.34,training
CH150,1.8,training
CH306,1.2,training
CH384,1.46,training
CH257,1.9,training
CH246,1.56,training
CH252,1.34,training
CH360,1.5,training
CH461,1.42,training
CH027,1.6,training
CH404,1.2,training
CH375,1.54,training
CH359,1.48,training
CH214,1.4,training
CH507,1.52,training
CH305,1.22,training
CH467,1.5,training
CH220,1.64,training
CH131,0.9,training
CH055,1.38,training
CH206,1.4,training
CH139,1.36,training
CH060,1.5,training
CH092,1.88,training
CH362,1.5,training
CH155,1.44,training
CH389,1.28,training
CH271,1.92,training
CH154,1.42,training
CH426,1.46,training
CH468,1.2,training
CH440,1.76,training
CH171,1.76,training
CH201,1.48,training
CH397,1.48,training
CH014,1.12,training
CH190,1.32,training
CH458,1.3,training
CH294,1.38,training
CH436,1.54,training
CH498,1.3,training
CH169,1.62,training
CH046,1.22,training
CH469,1.38,training
CH031,1.38,training
CH421,1.38,training
CH122,1.28,training
CH135,1.14,training
CH344,1.36,training
CH320,1.44,training
CH137,1.3,training
CH119,1.18,training
CH079,1.26,training
CH254,1.5,training
CH050,1.28,training
CH251,1.92,training
CH152,1.78,training
CH033,1.36,training
CH085,1.42,training
CH197,1.08,training
CH058,1.3,training
CH424,1.36,training
CH369,1.58,training
CH242,1.96,training
CH266,1.48,training
CH175,1.04,training
CH047,1.16,training
CH125,1.34,training
CH374,1.44,training
CH417,1.24,training
CH382,1.44,training
CH189,1.18,training
CH484,1.5,training
CH324,1.64,training
CH487,1.26,training
CH485,1.06,training
CH482,1.42,training
CH208,1.2,training
CH204,1.6,training
CH409,1.96,training
CH431,1.5,training
CH464,1.4,training
CH192,1.2,training
CH224,1.64,training
CH322,1.28,training
CH117,1.7,training
CH394,1.5,training
CH357,1.62,training
CH423,1.2,training
CH354,1.5,training
CH472,1.58,training
CH368,1.28,training
CH452,1.22,training
CH483,1.58,training
CH010,1.0,training
CH361,1.18,training
CH505,1.24,training
CH188,1.1,training
CH318,1.68,training
CH217,1.64,training
CH222,1.52,training
CH007,1.06,validation
CH028,1.1,validation
CH040,1.34,validation
CH084,1.6,validation
CH089,1.4,validation
CH128,1.16,validation
CH146,1.36,validation
CH149,1.7,validation
CH158,1.48,validation
CH162,1.44,validation
CH168,1.36,validation
CH186,1.28,validation
CH193,1.68,validation
CH195,1.6,validation
CH239,1.88,validation
CH253,1.38,validation
CH269,1.6,validation
CH272,1.6,validation
CH275,1.6,validation
CH278,1.34,validation
CH289,1.74,validation
CH290,1.76,validation
CH292,1.3,validation
CH295,1.3,validation
CH302,1.46,validation
CH325,1.42,validation
CH341,1.52,validation
CH343,1.68,validation
CH345,1.5,validation
CH353,1.38,validation
CH366,1.4,validation
CH379,1.88,validation
CH380,1.32,validation
CH383,1.34,validation
CH392,1.72,validation
CH393,1.6,validation
CH412,1.16,validation
CH416,1.66,validation
CH422,1.32,validation
CH433,1.28,validation
CH475,1.38,validation
CH477,1.34,validation
CH486,1.32,validation
CH496,1.54,validation
CH501,1.38,validation
